title,author,rank,date,weeks_on
THE FOUR WINDS,Kristin Hannah,#1,"February 28, 2021",2
FAITHLESS IN DEATH,J.D. Robb,#2,"February 28, 2021",New
FIREFLY LANE,Kristin Hannah,#3,"February 28, 2021",4
RECKLESS ROAD,Christine Feehan,#4,"February 28, 2021",New
THE DUKE AND I,Julia Quinn,#5,"February 28, 2021",7
THE MIDNIGHT LIBRARY,Matt Haig,#6,"February 28, 2021",11
RAFAEL,Laurell K. Hamilton,#7,"February 28, 2021",New
THE SANATORIUM,Sarah Pearse,#8,"February 28, 2021",2
THE VISCOUNT WHO LOVED ME,Julia Quinn,#9,"February 28, 2021",7
THE VANISHING HALF,Brit Bennett,#10,"February 28, 2021",37
THE RUSSIAN,James Patterson and James O. Born,#11,"February 28, 2021",3
THE PARIS LIBRARY,Janet Skeslien Charles,#12,"February 28, 2021",New
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#13,"February 28, 2021",14
ROMANCING MISTER BRIDGERTON,Julia Quinn,#14,"February 28, 2021",5
WHERE THE CRAWDADS SING,Delia Owens,#15,"February 28, 2021",121
THE FOUR WINDS,Kristin Hannah,#1,"February 21, 2021",New
THE DUKE AND I,Julia Quinn,#2,"February 21, 2021",6
THE SURVIVORS,Jane Harper,#3,"February 21, 2021",New
SERPENTINE,Jonathan Kellerman,#4,"February 21, 2021",New
FIREFLY LANE,Kristin Hannah,#5,"February 21, 2021",3
THE VANISHING HALF,Brit Bennett,#6,"February 21, 2021",36
THE RUSSIAN,James Patterson and James O. Born,#7,"February 21, 2021",2
THE VISCOUNT WHO LOVED ME,Julia Quinn,#8,"February 21, 2021",6
THE SANATORIUM,Sarah Pearse,#9,"February 21, 2021",New
THE MIDNIGHT LIBRARY,Matt Haig,#10,"February 21, 2021",10
SEND FOR ME,Lauren Fox,#11,"February 21, 2021",New
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#12,"February 21, 2021",13
AN OFFER FROM A GENTLEMAN,Julia Quinn,#13,"February 21, 2021",2
WHERE THE CRAWDADS SING,Delia Owens,#14,"February 21, 2021",120
ANXIOUS PEOPLE,Fredrik Backman,#15,"February 21, 2021",22
THE RUSSIAN,James Patterson and James O. Born,#1,"February 14, 2021",New
THE DUKE AND I,Julia Quinn,#2,"February 14, 2021",5
THE VISCOUNT WHO LOVED ME,Julia Quinn,#3,"February 14, 2021",5
THE VANISHING HALF,Brit Bennett,#4,"February 14, 2021",35
THE MIDNIGHT LIBRARY,Matt Haig,#5,"February 14, 2021",9
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,#6,"February 14, 2021",12
AN OFFER FROM A GENTLEMAN,Julia Quinn,#7,"February 14, 2021",New
THE PUSH,Ashley Audrain,#8,"February 14, 2021",2
ROMANCING MISTER BRIDGERTON,Julia Quinn,#9,"February 14, 2021",4
FIREFLY LANE,Kristin Hannah,#10,"February 14, 2021",2
ANXIOUS PEOPLE,Fredrik Backman,#11,"February 14, 2021",21
WHERE THE CRAWDADS SING,Delia Owens,#12,"February 14, 2021",119
HIGHLAND TREASURE,Lynsay Sands,#13,"February 14, 2021",New
PRODIGAL SON,Gregg Hurwitz,#14,"February 14, 2021",New
WHEN HE WAS WICKED,Julia Quinn,#15,"February 14, 2021",New
THE DUKE AND I,Julia Quinn,#1,"February 7, 2021",4
